/Clk (d_del=4.225641e-10) X,/Clk (d_del=4.225641e-10) Y,/Clk (d_del=4.312821e-10) X,/Clk (d_del=4.312821e-10) Y,/D (d_del=4.225641e-10) X,/D (d_del=4.225641e-10) Y,/D (d_del=4.312821e-10) X,/D (d_del=4.312821e-10) Y,/Q (d_del=4.225641e-10) X,/Q (d_del=4.225641e-10) Y,/Q (d_del=4.312821e-10) X,/Q (d_del=4.312821e-10) Y
5.076967188298985e-10,0.8460656234020303,5.076967187474352e-10,0.8460656250512961,5.076967188298985e-10,0,5.076967187474352e-10,0,5.076967188298985e-10,-0.007490271909259182,5.076967187474352e-10,-0.007490273334965228
5.10679772323255e-10,0.7864045535349009,5.106797721417884e-10,0.7864045571642324,5.10679772323255e-10,0,5.106797721417884e-10,0,5.10679772323255e-10,-0.007871504086091854,5.106797721417884e-10,-0.007871499940442745
5.153583414779449e-10,0.6928331704411024,5.153583412870271e-10,0.692833174259459,5.153583414779449e-10,0,5.153583412870271e-10,0,5.153583414779449e-10,-0.008008191905361579,5.153583412870271e-10,-0.008008194411947204
5.213826938676263e-10,0.5723461226474753,5.213826938801594e-10,0.5723461223968127,5.213826938676263e-10,0,5.213826938801594e-10,0,5.213826938676263e-10,-0.007653845247618768,5.213826938801594e-10,-0.007653842539353177
5.259017412784105e-10,0.4819651744317898,5.259017600059771e-10,0.4819647998804586,5.259017412784105e-10,0,5.259017600059771e-10,0,5.259017412784105e-10,-0.006871200902627471,5.259017600059771e-10,-0.006871199005103212
5.292712338007319e-10,0.414575323985362,5.292712110904343e-10,0.4145757781913137,5.292712338007319e-10,0,5.292712110904343e-10,0,5.292712338007319e-10,-0.006064216860917787,5.292712110904343e-10,-0.006064220842455645
5.33699759124355e-10,0.3260048175129012,5.336997235525909e-10,0.326005528948182,5.33699759124355e-10,0,5.336997235525909e-10,0,5.33699759124355e-10,-0.005001386447780772,5.336997235525909e-10,-0.005001395597476396
5.369506471674166e-10,0.2609870566516695,5.369506160034825e-10,0.2609876799303503,5.369506471674166e-10,0,5.369506160034825e-10,0,5.369506471674166e-10,-0.004424599156530863,5.369506160034825e-10,-0.004424602409112469
5.403184593319148e-10,0.1936308133617052,5.403184200528355e-10,0.193631598943291,5.403184593319148e-10,0,5.403184200528355e-10,0,5.403184593319148e-10,-0.004032727234439388,5.403184200528355e-10,-0.004032732153105107
5.440683828445053e-10,0.1186323431098955,5.440683494361063e-10,0.1186330112778751,5.440683828445053e-10,0,5.440683494361063e-10,0,5.440683828445053e-10,-0.003784318793393146,5.440683494361063e-10,-0.003784318942665319
5.454889739810409e-10,0.0902205203791826,5.454889419746715e-10,0.09022116050657092,5.454889739810409e-10,0,5.454889419746715e-10,0,5.454889739810409e-10,-0.003733411130937146,5.454889419746715e-10,-0.003733413397213075
5.469504862188213e-10,0.06099027562357429,5.469504586172922e-10,0.06099082765415731,5.469504862188213e-10,0,5.469504586172922e-10,0,5.469504862188213e-10,-0.003702468110290151,5.469504586172922e-10,-0.003702467244165977
5.485871614150833e-10,0.02825677169833385,5.485871447260913e-10,0.02825710547817462,5.485871614150833e-10,0,5.485871447260913e-10,0,5.485871614150833e-10,-0.003684144962510706,5.485871447260913e-10,-0.003684146442147948
5.500000000000001e-10,0,5.500000000000001e-10,0,5.500000000000001e-10,0,5.500000000000001e-10,0,5.500000000000001e-10,-0.003671306492888875,5.500000000000001e-10,-0.003671305210448912
5.500312916045079e-10,0,5.500312914659604e-10,0,5.500312916045079e-10,0,5.500312914659604e-10,0,5.500312916045079e-10,-0.003644785972138211,5.500312914659604e-10,-0.003644786046022631
5.500938748135237e-10,0,5.50093874397881e-10,0,5.500938748135237e-10,0,5.50093874397881e-10,0,5.500938748135237e-10,-0.003590125090967135,5.50093874397881e-10,-0.003590125524267373
5.501251664180316e-10,0,5.501251658638413e-10,0,5.501251664180316e-10,0,5.501251658638413e-10,0,5.501251664180316e-10,-0.003563159333367992,5.501251658638413e-10,-0.003563159773227171
5.501877496270474e-10,0,5.501877487957619e-10,0,5.501877496270474e-10,0,5.501877487957619e-10,0,5.501877496270474e-10,-0.003510047139148955,5.501877487957619e-10,-0.003510047899340841
5.503129160450789e-10,0,5.503129146596031e-10,0,5.503129160450789e-10,0,5.503129146596031e-10,0,5.503129160450789e-10,-0.003406341008233986,5.503129146596031e-10,-0.003406342107732632
5.50563248881142e-10,0,5.505632463872855e-10,0,5.50563248881142e-10,0,5.505632463872855e-10,0,5.50563248881142e-10,-0.003209562686539032,5.505632463872855e-10,-0.003209564637639822
5.510562327317711e-10,0,5.5105622910284e-10,0,5.510562327317711e-10,0,5.5105622910284e-10,0,5.510562327317711e-10,-0.002858472294755726,5.5105622910284e-10,-0.002858474684813894
5.512338925402466e-10,0,5.51233888333e-10,0,5.512338925402466e-10,0,5.51233888333e-10,0,5.512338925402466e-10,-0.002743233912828426,5.51233888333e-10,-0.00274323663850127
5.515892121571974e-10,0,5.515892067933199e-10,0,5.515892121571974e-10,0,5.515892067933199e-10,0,5.515892121571974e-10,-0.002527892643615982,5.515892067933199e-10,-0.0025278957220779
5.522998513910992e-10,0,5.522998437139598e-10,0,5.522998513910992e-10,0,5.522998437139598e-10,0,5.522998513910992e-10,-0.002151921118505041,5.522998437139598e-10,-0.002151924873739912
5.537211298589027e-10,0,5.537211175552396e-10,0,5.537211298589027e-10,0,5.537211175552396e-10,0,5.537211298589027e-10,-0.001571553286923735,5.537211175552396e-10,-0.001571557439443427
5.55799860069437e-10,0,5.55799841304447e-10,0,5.55799860069437e-10,0,5.55799841304447e-10,0,5.55799860069437e-10,-0.001015551236802478,5.55799841304447e-10,-0.001015555154169202
5.582967655826304e-10,0,5.582967441872021e-10,0,5.582967655826304e-10,0,5.582967441872021e-10,0,5.582967655826304e-10,-0.0006039887005557608,5.582967441872021e-10,-0.000603991713331562
5.610146968774566e-10,0,5.610146838780055e-10,0,5.610146968774566e-10,0,5.610146838780055e-10,0,5.610146968774566e-10,-0.0002226512067896597,5.610146838780055e-10,-0.0002226532276963282
5.633395512180631e-10,0,5.633395366532476e-10,0,5.633395512180631e-10,0,5.633395366532476e-10,0,5.633395512180631e-10,0.0001296972237283296,5.633395366532476e-10,0.0001296948441989851
5.659354193405921e-10,0,5.659354032993357e-10,0,5.659354193405921e-10,0,5.659354032993357e-10,0,5.659354193405921e-10,0.0004841835381368666,5.659354032993357e-10,0.0004841814704109687
5.692405423393091e-10,0,5.692405210561731e-10,0,5.692405423393091e-10,0,5.692405210561731e-10,0,5.692405423393091e-10,0.0007357850605124031,5.692405210561731e-10,0.0007357842459108863
5.722268847537485e-10,0,5.72226864345866e-10,0,5.722268847537485e-10,0,5.72226864345866e-10,0,5.722268847537485e-10,0.000743893733708526,5.72226864345866e-10,0.000743894266282351
5.7501467444168e-10,0,5.750146545283462e-10,0,5.7501467444168e-10,0,5.750146545283462e-10,0,5.7501467444168e-10,0.0006121763562137262,5.750146545283462e-10,0.0006121777107405579
5.776355982382178e-10,0,5.776355786074673e-10,0,5.776355982382178e-10,0,5.776355786074673e-10,0,5.776355982382178e-10,0.0004333342985861457,5.776355786074673e-10,0.0004333357735796865
5.809485949025812e-10,0,5.8094855946022e-10,0,5.809485949025812e-10,0,5.8094855946022e-10,0,5.809485949025812e-10,0.0001935823757087692,5.8094855946022e-10,0.0001935851500761856
5.839291189345576e-10,0,5.839290862211702e-10,0,5.839291189345576e-10,0,5.839290862211702e-10,0,5.839291189345576e-10,-3.320901802912703e-05,5.839290862211702e-10,-3.320636831655315e-05
5.869417504259822e-10,0,5.869417149272347e-10,0,5.869417504259822e-10,0,5.869417149272347e-10,0,5.869417504259822e-10,-0.0002655335538449031,5.869417149272347e-10,-0.0002655308821380687
